Date,Equity
2008-11-30,
2008-12-31,
2009-01-31,
2009-02-28,
2009-03-31,
2009-04-30,
2009-05-31,
2009-06-30,
2009-07-31,
2009-08-31,
2009-09-30,
2009-10-31,
2009-11-30,
2009-12-31,
2010-01-31,
2010-02-28,
2010-03-31,
2010-04-30,
2010-05-31,
2010-06-30,
2010-07-31,
2010-08-31,
2010-09-30,
2010-10-31,
2010-11-30,
2010-12-31,
2011-01-31,
2011-02-28,
2011-03-31,
2011-04-30,
2011-05-31,
2011-06-30,
2011-07-31,
2011-08-31,
2011-09-30,1.010882756
2011-10-31,0.992731394
2011-11-30,1.005512788
2011-12-31,0.9861854579
2012-01-31,0.980029552
2012-02-29,1.090200538
2012-03-31,1.161539616
2012-04-30,1.181590208
2012-05-31,1.12424066
2012-06-30,2012-06-31
2012-07-31,1.064013943
2012-08-31,1.187443773
2012-09-30,1.242352375
2012-10-31,1.216252705
2012-11-30,1.100583179
2012-12-31,1.116021284
2013-01-31,1.175164453
2013-02-28,1.225336869
2013-03-31,1.277536371
2013-04-30,1.330938518
2013-05-31,1.426184532
2013-06-30,1.40979022
2013-07-31,1.503759059
2013-08-31,1.550137646
2013-09-30,1.57986106
2013-10-31,1.618869406
2013-11-30,1.756913628
2013-12-31,1.832812707
2014-01-31,1.953794287
2014-02-28,1.954087186
2014-03-31,2.057860963
2014-04-30,1.852036187
2014-05-31,1.96361368
2014-06-30,2.193223838
2014-07-31,2.287599287
2014-08-31,2.242817392
2014-09-30,2.417813639
2014-10-31,2.170001919
2014-11-30,2.503873408
2014-12-31,2.539758762
2015-01-31,2.520011146
2015-02-28,2.598264028
2015-03-31,2.567397141
2015-04-30,2.721210626
2015-05-31,2.729617252
2015-06-30,2.771580879
2015-07-31,2.671659339
2015-08-31,2.743285454
2015-09-30,2.422284067
2015-10-31,2.422996708
2015-11-30,2.42168331
2015-12-31,2.362439984
2016-01-31,2.224757747
2016-02-29,2.227462339
2016-03-31,2.227953221
2016-04-30,2.246448891
2016-05-31,2.250378199
2016-06-30,2.287441406
2016-07-31,2.393605041
2016-08-31,2.595109568
2016-09-30,2.453035061
2016-10-31,2.517365003
2016-11-30,2.498539445
2016-12-31,2.70454236
2017-01-31,2.813423226
2017-02-28,2.975832171
2017-03-31,3.154087568
2017-04-30,3.134470273
2017-05-31,3.345653472
2017-06-30,3.4432343
2017-07-31,3.384295867
2017-08-31,3.480414292
2017-09-30,3.654902377
2017-10-31,3.80849926
2017-11-30,3.99036458
2017-12-31,4.157653459
2018-01-31,4.556018775
2018-02-28,4.051788478
2018-03-31,4.831687175
2018-04-30,4.199158191
2018-05-31,4.487307904
2018-06-30,4.716887289
2018-07-31,4.737161356
2018-08-31,4.939653941
2018-09-30,5.10372384
2018-10-31,4.426584598
2018-11-30,4.401028876
2018-12-31,4.401028876
2019-01-31,4.404402564
2019-02-28,4.417696218
2019-03-31,4.41111681
2019-04-30,4.513428771
2019-05-31,4.481014661
2019-06-30,4.436549246
2019-07-31,4.906418746
2019-08-31,4.637419194
2019-09-30,4.892803059
2019-10-31,4.78240031
2019-11-30,5.226894364
2019-12-31,5.444365903
2020-01-31,6.126197495
2020-02-29,6.71262448
2020-03-31,4.564083983
2020-04-30,4.564083983
2020-05-31,4.664134658
2020-06-30,4.723288186
2020-07-31,4.873203734
2020-08-31,5.092810305
2020-09-30,5.123937264
2020-10-31,5.139263042
2020-11-30,5.08319594
2020-12-31,5.065932758
2021-01-31,5.167794022
2021-02-28,5.455093053
2021-03-31,5.223613155
2021-04-30,5.833171036
2021-05-31,5.656162503
2021-06-30,6.086623672
2021-07-31,6.631418719
2021-08-31,6.860265494
2021-09-30,7.082421834
2021-10-31,6.539196791
2021-11-30,7.688659474
2021-12-31,7.862481741
2022-01-31,7.581732237
2022-02-28,6.311931849
2022-03-31,6.375008128
2022-04-30,6.359332675
2022-05-31,6.271737558
2022-06-30,6.282755535
2022-07-31,6.185234007
2022-08-31,6.357455851
2022-09-30,6.353168562
2022-10-31,6.220200892
2022-11-30,6.563711516
2022-12-31,6.573709681
2023-01-31,6.592489289
2023-02-28,6.58006124
2023-03-31,6.330876304
2023-04-30,6.410622745
2023-05-31,6.610987926
2023-06-30,7.460136888
2023-07-31,7.963647934
2023-08-31,7.883478088
2023-09-30,8.099940713
2023-10-31,7.678854573
2023-11-30,7.809990351
2023-12-31,8.565570114
2024-01-31,9.197415388
2024-02-29,10.32375247
2024-03-31,10.59577468
2024-04-30,11.02872644
2024-05-31,10.87946708
2024-06-30,11.80455096
2024-07-31,12.99058932
2024-08-31,11.19886405
2024-09-30,11.88491619
2024-10-31,13.21878192
2024-11-30,14.12390173
2024-12-31,14.77739604
2025-01-31,13.29157752
2025-02-28,14.54777377
2025-03-31,11.77591262
2025-04-30,11.96588021
2025-05-31,12.09137272
